date,close,change,pct,open,high,low,volume,fetch_time
2024-10-11,2657.60,37.00,1.41,2638.30,2658.10,2638.20,12,
2024-10-14,2647.80,-9.80,-0.37,2655.00,2655.30,2647.80,40,
2024-10-15,2661.40,13.60,0.51,2661.40,2661.40,2661.40,39,
2024-10-16,2674.00,12.60,0.47,2674.00,2674.00,2674.00,6,
2024-10-17,2691.00,17.00,0.64,2677.40,2691.70,2677.20,30,
2024-10-18,2713.70,22.70,0.84,2713.70,2719.60,2713.70,29,
2024-10-21,2723.10,9.40,0.35,2721.90,2738.40,2719.50,52,
2024-10-22,2744.20,21.10,0.77,2731.70,2746.00,2728.60,93,
2024-10-23,2714.40,-29.80,-1.09,2742.50,2742.50,2714.20,18,
2024-10-24,2734.90,20.50,0.76,2729.00,2736.10,2729.00,27,
2024-10-25,2740.90,6.00,0.22,2725.50,2742.40,2725.50,29,
2024-10-28,2742.90,2.00,0.07,2736.10,2742.90,2729.50,56,
2024-10-29,2768.40,25.50,0.93,2768.40,2768.40,2768.40,848,
2024-10-30,2788.50,20.10,0.73,2774.60,2789.00,2774.60,231,
2024-10-31,2738.30,-50.20,-1.80,2787.40,2787.50,2733.50,849,
2024-11-01,2738.60,0.30,0.01,2745.50,2756.00,2734.20,109,
2024-11-04,2736.10,-2.50,-0.09,2736.50,2737.10,2736.10,16,
2024-11-05,2740.30,4.20,0.15,2743.00,2743.90,2740.30,23,
2024-11-06,2667.60,-72.70,-2.65,2734.50,2734.50,2659.40,427,
2024-11-07,2698.40,30.80,1.15,2662.50,2699.10,2662.50,676,
2024-11-08,2687.50,-10.90,-0.40,2688.50,2694.60,2682.90,1038,
2024-11-11,2611.20,-76.30,-2.84,2671.70,2671.70,2611.20,20,
2024-11-12,2600.00,-11.20,-0.43,2605.50,2605.50,2592.80,118,
2024-11-13,2580.80,-19.20,-0.74,2611.10,2611.80,2580.80,53,
2024-11-14,2568.20,-12.60,-0.49,2555.10,2576.20,2554.20,27,
2024-11-15,2565.70,-2.50,-0.10,2565.70,2565.70,2565.70,20,
2024-11-18,2610.60,44.90,1.75,2591.70,2610.70,2589.40,136,
2024-11-19,2627.10,16.50,0.63,2621.90,2627.70,2619.30,87,
2024-11-20,2648.20,21.10,0.80,2638.50,2648.20,2638.50,27,
2024-11-21,2672.10,23.90,0.90,2659.30,2672.10,2655.70,33,
2024-11-22,2709.90,37.80,1.41,2687.50,2710.50,2685.60,41,
2024-11-25,2616.80,-93.10,-3.44,2689.40,2689.40,2616.80,94,
2024-11-26,2620.30,3.50,0.13,2625.60,2625.60,2620.30,177858,
2024-11-27,2639.90,19.60,0.75,2633.50,2657.90,2627.20,61653,
2024-11-29,2657.00,17.10,0.65,2636.40,2664.30,2620.70,3861,
2024-12-02,2634.90,-22.10,-0.83,2649.00,2649.80,2621.70,695,
2024-12-03,2644.70,9.80,0.37,2639.00,2654.70,2636.00,1062,
2024-12-04,2653.80,9.10,0.34,2639.20,2658.30,2637.00,249,
2024-12-05,2626.60,-27.20,-1.02,2652.40,2655.00,2625.70,573,
2024-12-06,2638.60,12.00,0.46,2620.20,2643.10,2617.50,571,
2024-12-09,2664.90,26.30,1.00,2632.10,2677.10,2630.80,935,
2024-12-10,2697.60,32.70,1.23,2662.30,2698.20,2661.00,437,
2024-12-11,2733.80,36.20,1.34,2701.80,2733.80,2693.10,3387,
2024-12-12,2687.50,-46.30,-1.69,2725.10,2725.10,2677.40,2365,
2024-12-13,2656.00,-31.50,-1.17,2688.20,2689.30,2647.90,1125,
2024-12-16,2651.40,-4.60,-0.17,2658.30,2663.30,2651.00,877,
2024-12-17,2644.40,-7.00,-0.26,2651.80,2652.30,2632.50,705,
2024-12-18,2636.50,-7.90,-0.30,2644.30,2647.10,2590.20,566,
2024-12-19,2592.20,-44.30,-1.68,2582.10,2610.30,2582.10,238,
2024-12-20,2628.70,36.50,1.41,2605.30,2631.60,2604.90,592,
2024-12-23,2612.30,-16.40,-0.62,2620.00,2627.70,2611.10,451,
2024-12-24,2620.00,7.70,0.29,2613.00,2620.00,2609.50,35,
2024-12-26,2638.80,18.80,0.72,2628.50,2638.80,2627.90,84,
2024-12-27,2617.20,-21.60,-0.82,2617.70,2617.70,2616.40,642,
2024-12-30,2606.10,-11.10,-0.42,2620.70,2626.90,2597.00,794,
2024-12-31,2629.20,23.10,0.89,2608.40,2629.20,2604.90,401,
2025-01-02,2658.90,29.70,1.13,2633.00,2663.10,2633.00,1728,
2025-01-03,2645.00,-13.90,-0.52,2658.70,2658.70,2641.80,591,
2025-01-06,2638.40,-6.60,-0.25,2645.50,2647.00,2617.30,960,
2025-01-07,2656.70,18.30,0.69,2653.40,2657.50,2653.00,643,
2025-01-08,2664.50,7.80,0.29,2655.50,2676.90,2653.50,999,
2025-01-09,2683.80,19.30,0.72,2669.70,2686.30,2667.90,1139,
2025-01-10,2708.50,24.70,0.92,2686.10,2720.10,2683.70,403,
2025-01-13,2673.50,-35.00,-1.29,2711.10,2711.20,2673.50,765,
2025-01-14,2677.50,4.00,0.15,2673.60,2688.30,2670.80,794,
2025-01-15,2712.50,35.00,1.31,2690.80,2712.50,2690.80,930,
2025-01-16,2746.40,33.90,1.25,2731.70,2749.80,2731.70,1721,
2025-01-17,2744.30,-2.10,-0.08,2736.00,2751.60,2725.50,1214,
2025-01-21,2755.00,10.70,0.39,2746.00,2755.00,2724.80,1439,
2025-01-22,2767.60,12.60,0.46,2754.50,2768.80,2753.50,2079,
2025-01-23,2763.10,-4.50,-0.16,2760.00,2765.00,2745.40,2201,
2025-01-24,2777.30,14.20,0.51,2759.80,2792.00,2759.80,1593,
2025-01-27,2737.50,-39.80,-1.43,2761.10,2762.20,2737.50,984,
2025-01-28,2766.80,29.30,1.07,2738.00,2766.80,2738.00,2307,
2025-01-29,2769.10,2.30,0.08,2769.10,2769.10,2769.10,125692,
2025-01-30,2823.00,53.90,1.95,2772.50,2829.50,2770.00,40141,
2025-01-31,2812.50,-10.50,-0.37,2829.00,2838.00,2804.00,3443,
2025-02-03,2833.90,21.40,0.76,2818.20,2848.40,2780.90,2649,
2025-02-04,2853.30,19.40,0.68,2827.60,2853.30,2816.10,2187,
2025-02-05,2871.60,18.30,0.64,2850.00,2880.50,2848.00,4519,
2025-02-06,2856.00,-15.60,-0.54,2865.20,2871.70,2836.30,3116,
2025-02-07,2867.30,11.30,0.40,2859.90,2889.50,2857.80,1822,
2025-02-10,2914.30,47.00,1.64,2864.20,2916.10,2863.80,2237,
2025-02-11,2912.50,-1.80,-0.06,2925.50,2945.40,2890.00,2554,
2025-02-12,2909.00,-3.50,-0.12,2902.00,2912.30,2868.60,2504,
2025-02-13,2925.90,16.90,0.58,2911.30,2937.70,2910.60,4670,
2025-02-14,2883.60,-42.30,-1.45,2937.30,2944.40,2874.80,1992,
2025-02-18,2931.60,48.00,1.66,2879.20,2936.40,2873.80,4010,
2025-02-19,2919.40,-12.20,-0.42,2938.70,2946.00,2917.10,2630,
2025-02-20,2940.00,20.60,0.71,2949.10,2955.80,2924.20,656,
2025-02-21,2937.60,-2.40,-0.08,2938.80,2940.00,2917.30,570,
2025-02-24,2947.90,10.30,0.35,2933.10,2957.90,2933.10,415,
2025-02-25,2904.50,-43.40,-1.47,2938.70,2943.20,2890.00,1854,
2025-02-26,2916.80,12.30,0.42,2913.50,2917.00,2913.00,2050,
2025-02-27,2883.20,-33.60,-1.15,2918.50,2922.80,2870.40,3215,
2025-02-28,2836.80,-46.40,-1.61,2877.10,2877.10,2834.10,990,
2025-03-03,2890.20,53.40,1.88,2872.70,2891.80,2863.40,423,
2025-03-04,2909.60,19.40,0.67,2886.10,2927.90,2886.10,885,
2025-03-05,2915.30,5.70,0.20,2916.70,2922.00,2893.00,551,
2025-03-06,2916.60,1.30,0.04,2904.00,2918.60,2903.80,870,
2025-03-07,2904.70,-11.90,-0.41,2900.90,2927.30,2900.50,531,
2025-03-10,2891.00,-13.70,-0.47,2910.10,2915.10,2880.20,55,
2025-03-11,2912.90,21.90,0.76,2884.40,2916.70,2880.40,197,
2025-03-12,2939.10,26.20,0.90,2912.00,2939.10,2910.00,213,
2025-03-13,2984.30,45.20,1.54,2937.10,2988.00,2935.20,2366,
2025-03-14,2994.50,10.20,0.34,2994.40,3004.80,2986.00,1800,
2025-03-17,3000.00,5.50,0.18,2991.00,3001.50,2989.00,214,
2025-03-18,3035.10,35.10,1.17,3006.40,3039.20,3004.40,428,
2025-03-19,3035.90,0.80,0.03,3035.20,3050.90,3030.90,175,
2025-03-20,3040.00,4.10,0.14,3047.30,3047.30,3034.40,185,
2025-03-21,3018.20,-21.80,-0.72,3034.50,3037.50,3000.90,151,
2025-03-24,3013.10,-5.10,-0.17,3024.30,3024.30,3006.00,137,
